dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
energy,MLP-AE,0.3,2026,6,2,4,19238,300,25.43,-0.5556740879567643,0.22567251543964295,0.19253532179687555,57.018048634996255,0.11848713845579832,0.05092808422485588
energy,MLP-AE,0.3,2027,6,2,4,19238,300,27.68,-0.2508093105757121,0.2023554536258394,0.17421739845480738,65.4412030320111,0.11848713845579832,0.04094772961211924
energy,TinyMLP,0.1,2023,6,2,4,142,300,4.03,0.6877341946905547,0.10110708173281834,0.07787801261276008,22.351253488104717,0.01316523760619982,0.010222641976526808
energy,TinyMLP,0.1,2024,6,2,4,142,300,3.91,0.5122825239203308,0.12635822588254175,0.10841006670656603,-21.27696989429566,0.01316523760619982,0.015966401248183444
energy,TinyMLP,0.1,2025,6,2,4,142,300,4.52,0.5926521947056835,0.11547874387040337,0.0918392223514294,-1.2920593214838627,0.01316523760619982,0.013335340285886224
energy,TinyMLP,0.1,2026,6,2,4,142,300,3.79,0.6453241755044712,0.10775443505124076,0.08237074453982554,11.805478787985102,0.01316523760619982,0.011611018273212061
energy,TinyMLP,0.1,2027,6,2,4,142,300,4.07,0.6275997659072707,0.11041404829387257,0.08515941572097373,7.398085584870328,0.01316523760619982,0.012191262060641623
energy,TinyMLP,0.2,2023,6,2,4,142,300,4.03,0.1351234093377841,0.16826602367428917,0.13589577650250545,46.23444033052816,0.05266095042479927,0.02831345472315644
energy,TinyMLP,0.2,2024,6,2,4,142,300,4.09,0.011162769867118283,0.17992096240275324,0.15463889786209423,38.528354595194656,0.05266095042479927,0.03237155271193294
energy,TinyMLP,0.2,2025,6,2,4,142,300,3.78,0.1372145544436636,0.16806247924670356,0.14138787010824722,46.364437590462785,0.05266095042479927,0.028244996930548667
energy,TinyMLP,0.2,2026,6,2,4,142,300,3.88,0.11563410276890596,0.1701513324128895,0.1377690385907622,45.022876176105456,0.05266095042479927,0.028951475921881614
energy,TinyMLP,0.2,2027,6,2,4,142,300,3.67,0.029994348733633047,0.17819950487367742,0.1460384932636125,39.69903072188081,0.05266095042479927,0.031755063537223786
energy,TinyMLP,0.3,2023,6,2,4,142,300,3.85,-0.4364837192030129,0.21685513720486438,0.18430522027124285,60.31117710747679,0.11848713845579832,0.047026150532140557
energy,TinyMLP,0.3,2024,6,2,4,142,300,3.79,-0.5219901351165008,0.22321597850280855,0.19153221622710825,57.94870759111659,0.11848713845579832,0.049825373058966296
energy,TinyMLP,0.3,2025,6,2,4,142,300,3.96,-0.3134999002222725,0.20736448756764958,0.17875770150946663,63.7091153819745,0.11848713845579832,0.04300003070419389
energy,TinyMLP,0.3,2026,6,2,4,142,300,3.79,-0.47210216816255945,0.2195271993959194,0.18682097683492777,59.327069669596355,0.11848713845579832,0.04819219127461575
energy,TinyMLP,0.3,2027,6,2,4,142,300,3.84,-0.534626542909294,0.2241406946350438,0.19120068983804245,57.59957439581373,0.11848713845579832,0.05023905099147995
finance,LSTM-AE,0.1,2023,6,2,4,2597,300,81.8,0.8017887135294246,0.05575701843637525,0.044676167751523735,76.3859552109393,0.013165237606199818,0.003108845104914289
finance,LSTM-AE,0.1,2024,6,2,4,2597,300,85.41,0.7694718322687492,0.06013085113953204,0.04951977727902619,72.53586021826271,0.013165237606199818,0.0036157192587645617
