dataset,model,sigma,seed,window,stride,latent,n_params,epochs,elapsed_sec,test_r2,test_rmse,test_mae,delta_test_pct,mse_test_noisy,mse_test_recovered
finance,MLP-AE,0.1,2025,6,2,4,19238,300,24.58,0.7728917379707896,0.05968316131570204,0.04448928986742252,72.94329315440045,0.013165237606199818,0.003562079744636112
finance,MLP-AE,0.1,2026,6,2,4,19238,300,22.72,0.7780311171402757,0.05900399263885754,0.049199871221857025,73.55557680412203,0.013165237606199818,0.0034814711473263545
finance,MLP-AE,0.1,2027,6,2,4,19238,300,25.08,0.7383417394879995,0.06406230738593577,0.05135843017823604,68.82715412840358,0.013165237606199818,0.00410397922761012
finance,MLP-AE,0.2,2023,6,2,4,19238,300,25.06,0.43049359695694944,0.09451150037017848,0.07247089346638091,83.03786082444923,0.05266095042479927,0.008932423702222247
finance,MLP-AE,0.2,2024,6,2,4,19238,300,22.05,0.4274041915572755,0.09476750225712567,0.07315950131642689,82.94584618847857,0.05266095042479927,0.008980879484054318
finance,MLP-AE,0.2,2025,6,2,4,19238,300,24.96,0.33352289515241496,0.10224167821317068,0.07980218138901099,80.14969217319175,0.05266095042479927,0.01045336076384554
finance,MLP-AE,0.2,2026,6,2,4,19238,300,22.08,0.42947826001676404,0.09459571214063693,0.07389528544616836,83.00762009950307,0.05266095042479927,0.008948348755394245
finance,MLP-AE,0.2,2027,6,2,4,19238,300,24.86,0.2466276089024685,0.1087026676808715,0.08582912303328186,77.56160899942013,0.05266095042479927,0.011816269960937984
finance,MLP-AE,0.3,2023,6,2,4,19238,300,26.43,-0.12813890535785144,0.13301990715104672,0.10531714494828018,85.0664840681641,0.11848713845579832,0.01769429569847309
finance,MLP-AE,0.3,2024,6,2,4,19238,300,25.61,-0.08738914459752123,0.13059539057086192,0.10535520267224004,85.60590097741418,0.11848713845579832,0.01705515603835597
finance,MLP-AE,0.3,2025,6,2,4,19238,300,24.36,-0.7792025614895957,0.1670506037455761,0.1436899261982011,76.44815751696814,0.11848713845579832,0.027905904211761486
finance,MLP-AE,0.3,2026,6,2,4,19238,300,27.23,-0.02095926036586171,0.12654341728449747,0.09716978127261015,86.48525344882711,0.11848713845579832,0.01601323645803845
finance,MLP-AE,0.3,2027,6,2,4,19238,300,26.25,-0.49708549840098315,0.1532352403212964,0.11996941206879305,80.18262641638098,0.11848713845579832,0.023481038876325463
finance,TinyMLP,0.1,2023,6,2,4,142,300,3.93,0.8031106012252028,0.05557078329602979,0.04631565388439835,76.5434392564245,0.013165237606199818,0.003088111956134304
finance,TinyMLP,0.1,2024,6,2,4,142,300,3.75,0.7804941917708826,0.05867571091190684,0.04698452835709237,73.84901697940985,0.013165237606199818,0.0034428390510176632
finance,TinyMLP,0.1,2025,6,2,4,142,300,3.85,0.7877053117667063,0.05770386670589877,0.04842114752946095,74.70811896897264,0.013165237606199818,0.0033297362328121327
finance,TinyMLP,0.1,2026,6,2,4,142,300,3.67,0.7728083558637968,0.059694116555737,0.049995834170652044,72.93335936685388,0.013165237606199818,0.003563387551369914
finance,TinyMLP,0.1,2027,6,2,4,142,300,3.55,0.7200619188558344,0.06626227502225267,0.05609881699242696,66.64937449319585,0.013165237606199818,0.004390689091124649
finance,TinyMLP,0.2,2023,6,2,4,142,300,3.52,0.3855447556058935,0.09817038171325351,0.07996806802794992,81.69910765380449,0.05266095042479927,0.0096374238457259
finance,TinyMLP,0.2,2024,6,2,4,142,300,3.64,0.500681041453988,0.08849615056298833,0.0743015186551155,85.1283187992387,0.05266095042479927,0.0078315686644671
finance,TinyMLP,0.2,2025,6,2,4,142,300,3.59,0.36433998386635336,0.09984993794476645,0.08402852336080252,81.06754620425802,0.05266095042479927,0.00997001010757371
finance,TinyMLP,0.2,2026,6,2,4,142,300,4.26,0.42504119849746436,0.09496284458078239,0.07683958741967123,82.87546696721397,0.05266095042479927,0.009017941850873831
finance,TinyMLP,0.2,2027,6,2,4,142,300,3.63,0.36796840996702906,0.09956455220137897,0.08404804188116541,81.17561499537082,0.05266095042479927,0.009913100055061118
finance,TinyMLP,0.3,2023,6,2,4,142,300,3.81,-0.20944980413292402,0.13773023112258512,0.10942273808287811,83.99014710600228,0.11848713845579832,0.018969616565080713
